Customer id,Gender,Age,Payment method
C00001,F,39,Credit Card
C00002,F,29,Mobile Payment
C00003,F,51,Cash
C00004,F,40,Credit Card
C00005,M,30,Credit Card
C00006,M,36,Credit Card
C00007,F,44,Credit Card
C00008,F,49,Credit Card
C00009,M,40,Cash
C00010,M,37,Cash
C00011,F,52,Cash
C00012,M,33,Credit Card
C00013,M,23,Cash
C00014,M,46,Mobile Payment
C00015,F,31,Credit Card
C00016,F,25,Cash
C00017,F,22,Mobile Payment
C00018,F,32,Mobile Payment
C00019,F,35,Credit Card
C00020,F,22,Cash
C00021,M,31,Mobile Payment
C00022,M,30,Credit Card
C00023,F,44,Credit Card
C00024,M,50,Mobile Payment
C00025,F,32,Credit Card
C00026,M,46,Credit Card
C00027,F,28,Credit Card
C00028,F,25,Cash
C00029,M,54,Cash
C00030,M,29,Credit Card
C00031,F,30,Credit Card
C00032,M,40,Cash
C00033,M,54,Mobile Payment
C00034,M,44,Credit Card
C00035,F,43,Credit Card
C00036,F,42,Cash
C00037,F,28,Mobile Payment
C00038,M,53,Cash
C00039,M,35,Cash
C00040,M,53,Cash
C00041,M,32,Cash
C00042,F,53,Cash
C00043,M,45,Cash
C00044,M,53,Mobile Payment
C00045,M,23,Cash
C00046,F,35,Cash
C00047,F,25,Mobile Payment
C00048,M,39,Mobile Payment
C00049,F,46,Cash
C00050,F,50,Cash
C00051,F,35,Credit Card
C00052,M,33,Cash
C00053,M,33,Cash
C00054,F,43,Credit Card
C00055,F,43,Cash
C00056,F,39,Cash
C00057,M,28,Cash
C00058,M,28,Cash
C00059,M,50,Cash
C00060,F,27,Cash
C00061,M,24,Mobile Payment
C00062,F,46,Credit Card
C00063,M,48,Credit Card
C00064,F,34,Mobile Payment
C00065,M,34,Credit Card
C00066,F,50,Credit Card
C00067,M,32,Mobile Payment
C00068,M,42,Cash
C00069,M,51,Credit Card
C00070,M,43,Credit Card
C00071,F,34,Cash
C00072,M,22,Credit Card
C00073,F,52,Credit Card
C00074,M,34,Cash
C00075,F,28,Mobile Payment
C00076,F,49,Cash
C00077,M,40,Cash
C00078,F,37,Cash
C00079,M,45,Cash
C00080,M,32,Mobile Payment
C00081,M,49,Mobile Payment
C00082,M,35,Cash
C00083,M,44,Credit Card
C00084,M,46,Cash
C00085,F,51,Cash
C00086,F,54,Cash
C00087,M,40,Credit Card
C00088,M,43,Mobile Payment
C00089,M,23,Credit Card
C00090,F,32,Credit Card
C00091,M,49,Cash
C00092,M,37,Cash
C00093,M,37,Mobile Payment
C00094,M,29,Credit Card
C00095,M,24,Credit Card
C00096,M,29,Mobile Payment
C00097,F,40,Credit Card
C00098,F,43,Mobile Payment
C00099,M,42,Credit Card
C00100,F,50,Cash
C00101,F,45,Mobile Payment
C00102,M,48,Cash
C00103,F,40,Mobile Payment
C00104,F,39,Credit Card
C00105,F,40,Mobile Payment
C00106,M,24,Credit Card
C00107,F,47,Mobile Payment
C00108,M,39,Cash
C00109,F,38,Mobile Payment
C00110,M,36,Mobile Payment
C00111,M,36,Cash
C00112,M,26,Credit Card
C00113,M,29,Credit Card
C00114,F,40,Cash
C00115,M,22,Cash
C00116,M,46,Cash
C00117,F,50,Mobile Payment
C00118,F,46,Credit Card
C00119,M,39,Cash
C00120,M,28,Cash
C00121,M,27,Credit Card
C00122,M,52,Cash
C00123,M,35,Cash
C00124,F,31,Cash
C00125,F,54,Cash
C00126,F,27,Mobile Payment
C00127,M,31,Mobile Payment
C00128,F,28,Credit Card
C00129,M,29,Cash
C00130,M,43,Mobile Payment
C00131,F,45,Mobile Payment
C00132,F,47,Credit Card
C00133,F,38,Cash
C00134,F,39,Credit Card
C00135,F,27,Mobile Payment
C00136,F,47,Cash
C00137,M,26,Cash
C00138,F,41,Cash
C00139,M,47,Cash
