Invoice no,Customer id,Product id list,Invoice date,Shopping mall
INV00001,C00334,"P00184,P00487,P00349,P00219,P00513",25/12/2025,TKO
INV00002,C00556,"P00281,P00513",26/01/2024,CYB
INV00003,C01430,"P00373,P00353,P00422,P00266,P00237,P00304",24/07/2024,CYB
INV00004,C00918,"P00382,P00355,P00143",17/09/2025,MK
INV00005,C00175,"P00080,P00210,P00315,P00400",16/02/2025,MK
INV00006,C00214,P00506,01/03/2025,TKO
INV00007,C00941,"P00519,P00083",29/12/2025,CYB
INV00008,C00917,"P00023,P00171,P00123,P00108",07/01/2024,MK
INV00009,C00615,"P00143,P00016",03/08/2025,TKO
INV00010,C00765,"P00227,P00147,P00408,P00476",28/02/2024,ST
INV00011,C00879,"P00156,P00336,P00108,P00089",17/01/2025,TKO
INV00012,C01313,P00386,24/02/2025,TKO
INV00013,C00122,"P00250,P00282",02/09/2025,ST
INV00014,C00558,"P00069,P00294",18/10/2025,CYB
INV00015,C01119,"P00373,P00353,P00422,P00266,P00371,P00247",23/05/2025,TKO
INV00016,C00091,"P00113,P00287,P00486",05/02/2024,ST
INV00017,C00412,P00254,21/04/2024,ST
INV00018,C00096,"P00051,P00543,P00237",17/12/2025,TKO
INV00019,C00375,"P00373,P00353,P00422,P00266,P00028",29/03/2024,CYB
INV00020,C00558,"P00286,P00544,P00434,P00221,P00003",27/01/2025,MK
INV00021,C00760,"P00156,P00336,P00108,P00089,P00038",06/11/2025,MK
INV00022,C01246,"P00496,P00486,P00063,P00158",25/09/2024,TKO
INV00023,C00521,"P00373,P00353,P00422,P00266",22/08/2024,CYB
INV00024,C01429,"P00498,P00523,P00172,P00148",03/09/2024,TKO
INV00025,C00031,"P00373,P00353,P00422,P00266,P00468,P00461",15/08/2025,MK
INV00026,C00340,"P00373,P00353,P00422,P00266,P00451,P00413",20/04/2025,MK
INV00027,C00657,"P00156,P00336,P00108,P00089,P00194",10/03/2024,CYB
INV00028,C00484,"P00156,P00336,P00108,P00089",19/07/2024,MK
INV00029,C00692,"P00373,P00353,P00422,P00266",07/12/2025,ST
INV00030,C01153,"P00499,P00321,P00512,P00257",07/09/2025,TKO
INV00031,C00206,"P00373,P00353,P00422,P00266",25/08/2024,CYB
INV00032,C00862,"P00538,P00267,P00251",14/09/2024,TKO
INV00033,C01236,"P00208,P00499,P00095,P00161",08/05/2025,TKO
INV00034,C00520,"P00062,P00038,P00369,P00326,P00098",27/12/2024,MK
INV00035,C01296,"P00080,P00319,P00525,P00504,P00390",11/02/2025,MK
INV00036,C00694,"P00156,P00336,P00108,P00089,P00470",04/02/2024,MK
INV00037,C01307,"P00156,P00336,P00108,P00089,P00073,P00354",30/04/2025,TKO
INV00038,C00393,"P00398,P00074,P00181",30/12/2024,TKO
INV00039,C00231,"P00373,P00353,P00422,P00266,P00210",14/10/2025,CYB
INV00040,C00824,P00376,28/09/2025,TKO
INV00041,C00797,"P00181,P00026",29/10/2025,CYB
INV00042,C00311,"P00527,P00504,P00181,P00200",17/08/2024,CYB
INV00043,C00367,"P00373,P00353,P00422,P00266",23/01/2025,TKO
INV00044,C00046,"P00156,P00336,P00108,P00089,P00398",03/03/2025,CYB
INV00045,C00028,P00147,29/10/2024,CYB
INV00046,C00427,"P00499,P00338,P00240",03/03/2025,TKO
INV00047,C00354,"P00373,P00353,P00422,P00266,P00343,P00172",12/05/2024,ST
INV00048,C01082,"P00303,P00006,P00025,P00009",13/06/2024,MK
INV00049,C00908,"P00119,P00011,P00019,P00090,P00142",13/05/2025,MK
INV00050,C00004,"P00373,P00353,P00422,P00266",01/07/2024,MK
INV00051,C00380,P00322,17/01/2024,CYB
INV00052,C01350,"P00104,P00536,P00290,P00277",01/09/2025,MK
INV00053,C00574,"P00006,P00492,P00116",02/05/2024,ST
INV00054,C00725,"P00210,P00268",26/09/2024,MK
INV00055,C00262,"P00510,P00134,P00328,P00303,P00279",30/12/2025,TKO
INV00056,C01058,"P00156,P00336,P00108,P00089,P00132,P00230",31/05/2024,ST
INV00057,C00834,"P00156,P00336,P00108,P00089,P00534",28/12/2025,ST
INV00058,C00478,"P00373,P00353,P00422,P00266,P00211",27/10/2025,CYB
INV00059,C00202,"P00236,P00536,P00246,P00261,P00104",18/05/2025,TKO
INV00060,C00106,P00095,19/05/2024,MK
INV00061,C00577,"P00383,P00215",10/01/2024,CYB
INV00062,C00485,P00488,02/05/2024,TKO
INV00063,C00261,"P00540,P00096,P00084,P00188,P00478",11/04/2024,TKO
INV00064,C00868,"P00156,P00336,P00108,P00089,P00011",10/01/2024,MK
INV00065,C01178,"P00373,P00353,P00422,P00266,P00181,P00475",16/04/2024,ST
INV00066,C00959,"P00232,P00128,P00388",13/07/2024,MK
INV00067,C01093,"P00156,P00336,P00108,P00089,P00457,P00222",02/01/2025,TKO
INV00068,C00066,"P00546,P00276,P00531",06/08/2024,CYB
INV00069,C00391,"P00373,P00353,P00422,P00266,P00413",27/01/2025,TKO
INV00070,C00696,"P00540,P00057,P00514",02/03/2024,CYB
INV00071,C00693,"P00457,P00353,P00305,P00409",26/03/2025,ST
INV00072,C01336,"P00265,P00497,P00228",31/03/2025,MK
INV00073,C00227,P00194,26/06/2025,CYB
INV00074,C00621,P00053,04/07/2024,MK
INV00075,C00873,"P00156,P00336,P00108,P00089",11/07/2025,TKO
INV00076,C01364,"P00160,P00436,P00545",16/04/2024,MK
INV00077,C00714,"P00373,P00353,P00422,P00266,P00517,P00443",28/10/2024,TKO
INV00078,C00808,"P00156,P00336,P00108,P00089,P00421,P00437",31/01/2024,MK
INV00079,C00170,"P00373,P00353,P00422,P00266,P00131",05/06/2024,ST
INV00080,C00477,"P00235,P00335,P00271,P00125,P00372",25/03/2025,MK
INV00081,C00479,"P00489,P00361",11/03/2025,TKO
INV00082,C00961,"P00128,P00335,P00138,P00471,P00459",09/04/2025,MK
INV00083,C00924,"P00516,P00030,P00514,P00385",02/06/2024,TKO
INV00084,C00160,"P00285,P00070",23/10/2025,TKO
INV00085,C00910,P00441,20/12/2024,CYB
INV00086,C01252,"P00156,P00336,P00108,P00089,P00361,P00428",05/05/2025,CYB
INV00087,C01119,"P00324,P00108",28/05/2025,MK
INV00088,C01343,"P00033,P00392",09/02/2025,MK
INV00089,C00022,P00499,07/11/2025,ST
INV00090,C00769,"P00373,P00353,P00422,P00266",25/12/2024,MK
INV00091,C00153,"P00373,P00353,P00422,P00266,P00508",11/09/2025,MK
INV00092,C01119,P00006,28/11/2024,CYB
INV00093,C01297,"P00143,P00378,P00062,P00197",04/07/2025,CYB
INV00094,C00693,"P00174,P00245,P00047,P00311",26/05/2024,CYB
INV00095,C00310,"P00373,P00353,P00422,P00266",31/05/2024,ST
INV00096,C00610,"P00033,P00128",01/12/2024,CYB
INV00097,C00506,"P00242,P00003",10/10/2024,MK
INV00098,C00586,"P00373,P00353,P00422,P00266,P00404,P00320",06/04/2025,CYB
INV00099,C00466,"P00409,P00064,P00497,P00256",15/08/2024,CYB
INV00100,C01374,"P00156,P00336,P00108,P00089,P00445",07/03/2024,CYB
INV00101,C00141,"P00246,P00077,P00473",29/07/2025,ST
INV00102,C00249,"P00156,P00336,P00108,P00089,P00225,P00377",11/06/2025,TKO
INV00103,C00963,P00225,07/04/2024,MK
INV00104,C01056,P00205,10/05/2024,CYB
INV00105,C00225,"P00351,P00024,P00189,P00116",11/06/2024,CYB
INV00106,C01085,"P00156,P00336,P00108,P00089",23/08/2025,MK
INV00107,C00314,"P00139,P00292,P00201,P00104",23/08/2025,TKO
INV00108,C00290,"P00373,P00353,P00422,P00266",03/02/2024,CYB
INV00109,C00113,"P00156,P00336,P00108,P00089,P00527,P00498",23/12/2024,CYB
INV00110,C00014,"P00382,P00073,P00018",21/08/2025,CYB
INV00111,C00251,"P00049,P00439,P00436",21/09/2024,ST
INV00112,C01136,"P00156,P00336,P00108,P00089,P00415",23/04/2024,CYB
INV00113,C00296,"P00315,P00050",09/11/2024,CYB
INV00114,C00239,"P00156,P00336,P00108,P00089",03/05/2024,TKO
INV00115,C00704,"P00027,P00283,P00482",12/02/2025,CYB
INV00116,C01162,P00114,23/09/2025,TKO
INV00117,C00496,"P00429,P00222,P00245,P00111",13/02/2024,CYB
INV00118,C00030,"P00170,P00520,P00392,P00099",30/03/2025,TKO
INV00119,C00359,"P00140,P00045",20/10/2025,MK
INV00120,C00145,"P00485,P00430,P00479,P00286",04/03/2025,MK
INV00121,C00762,"P00523,P00181,P00073,P00129",11/10/2024,MK
INV00122,C00987,P00123,12/06/2025,MK
INV00123,C00459,P00414,09/03/2025,CYB
INV00124,C01072,P00023,24/02/2024,MK
INV00125,C00969,"P00494,P00338",02/01/2024,TKO
INV00126,C00837,"P00021,P00334",19/07/2024,CYB
INV00127,C01393,"P00231,P00364",24/05/2024,MK
INV00128,C00841,"P00511,P00529,P00364,P00222,P00461",07/07/2025,TKO
INV00129,C00798,"P00519,P00074,P00130",29/11/2025,MK
INV00130,C00039,"P00067,P00340,P00096",01/11/2024,TKO
INV00131,C01242,"P00042,P00122,P00070,P00112",25/03/2025,MK
INV00132,C00464,"P00190,P00306,P00250,P00239,P00429",29/08/2025,CYB
INV00133,C00617,P00280,03/09/2025,CYB
INV00134,C00127,"P00505,P00438",24/02/2024,TKO
INV00135,C00266,"P00156,P00336,P00108,P00089,P00376,P00454",15/03/2024,MK
INV00136,C00375,"P00370,P00537,P00485,P00047,P00124",05/07/2024,CYB
INV00137,C01203,"P00488,P00163",06/09/2024,CYB
INV00138,C00855,"P00156,P00336,P00108,P00089,P00362,P00392",13/02/2025,MK
INV00139,C00844,"P00187,P00128",09/12/2025,CYB
INV00140,C01024,"P00156,P00336,P00108,P00089",20/07/2024,CYB
INV00141,C00938,"P00022,P00376,P00436",02/10/2025,MK
INV00142,C00129,"P00489,P00207",29/09/2025,TKO
INV00143,C01351,"P00156,P00336,P00108,P00089,P00083,P00241",04/03/2024,MK
INV00144,C00505,"P00499,P00402",12/11/2024,TKO
INV00145,C00457,"P00439,P00016,P00059,P00177,P00392",02/07/2025,TKO
INV00146,C00033,"P00156,P00336,P00108,P00089",09/02/2025,MK
INV00147,C00304,"P00084,P00152,P00216,P00226",02/04/2024,TKO
INV00148,C00161,"P00024,P00039",17/02/2025,CYB
INV00149,C01275,"P00415,P00163",10/09/2025,CYB
INV00150,C00543,P00526,28/05/2024,TKO
INV00151,C00636,"P00124,P00389",05/07/2024,ST
INV00152,C01443,"P00373,P00353,P00422,P00266",05/08/2025,MK
INV00153,C00200,"P00334,P00378,P00170",21/01/2024,TKO
INV00154,C01397,"P00463,P00016",13/01/2024,MK
INV00155,C00621,"P00206,P00539,P00201,P00146,P00432",02/02/2025,CYB
INV00156,C00161,P00016,27/07/2025,CYB
INV00157,C00308,"P00373,P00353,P00422,P00266",01/10/2025,MK
INV00158,C01072,"P00156,P00336,P00108,P00089,P00233,P00236",15/06/2024,MK
INV00159,C00388,"P00156,P00336,P00108,P00089",26/04/2025,CYB
INV00160,C01181,P00276,28/11/2024,MK
INV00161,C00359,"P00291,P00490,P00447",06/03/2025,MK
INV00162,C01366,"P00373,P00353,P00422,P00266,P00334,P00037",08/05/2024,ST
INV00163,C01019,"P00145,P00430,P00087,P00016",12/06/2024,MK
INV00164,C00809,"P00234,P00064,P00179,P00301",29/04/2024,TKO
INV00165,C00019,P00473,05/03/2024,MK
INV00166,C00193,"P00456,P00261,P00120,P00235",07/05/2024,MK
INV00167,C01289,"P00239,P00247,P00433",14/10/2025,MK
INV00168,C00253,"P00156,P00336,P00108,P00089,P00461",06/11/2025,TKO
INV00169,C00058,"P00039,P00251,P00356,P00371",22/12/2024,ST
INV00170,C00548,"P00238,P00487,P00043,P00350,P00078",12/01/2024,MK
INV00171,C00726,"P00224,P00484,P00500,P00445,P00102",08/09/2024,TKO
INV00172,C00343,"P00273,P00360",02/04/2024,ST
INV00173,C00074,"P00078,P00368,P00090,P00366",02/07/2025,CYB
INV00174,C00825,"P00156,P00336,P00108,P00089",19/01/2025,TKO
INV00175,C00461,"P00463,P00064,P00333,P00447",31/01/2024,TKO
INV00176,C00360,"P00381,P00242,P00253",31/03/2025,TKO
INV00177,C00987,"P00002,P00293,P00218",19/05/2025,CYB
INV00178,C01355,"P00536,P00084,P00278",24/05/2025,TKO
INV00179,C01369,"P00373,P00353,P00422,P00266,P00032",23/09/2024,CYB
INV00180,C01428,"P00383,P00155",13/07/2024,MK
INV00181,C00281,"P00363,P00088",09/10/2024,TKO
INV00182,C01073,"P00214,P00422",22/05/2025,MK
INV00183,C01354,P00265,04/04/2025,CYB
INV00184,C00227,"P00483,P00367,P00152,P00209,P00354",16/11/2025,CYB
INV00185,C01303,"P00373,P00353,P00422,P00266",22/08/2025,CYB
INV00186,C01093,"P00037,P00332",05/02/2025,MK
INV00187,C00681,"P00156,P00336,P00108,P00089",24/12/2025,CYB
INV00188,C00742,P00425,05/07/2024,MK
INV00189,C00428,"P00232,P00191",30/11/2024,MK
INV00190,C00165,"P00168,P00022,P00219,P00375,P00262",17/05/2024,CYB
INV00191,C00694,P00537,12/09/2025,TKO
INV00192,C01262,"P00170,P00451,P00206,P00235",06/08/2024,MK
INV00193,C00163,"P00156,P00336,P00108,P00089",28/03/2025,ST
INV00194,C00793,"P00186,P00262,P00222,P00518,P00525",19/02/2024,MK
INV00195,C00658,"P00060,P00411,P00531,P00300",03/10/2025,TKO
INV00196,C01119,"P00108,P00122",29/07/2024,ST
INV00197,C00839,"P00288,P00031,P00524,P00101",30/03/2024,TKO
INV00198,C00728,"P00006,P00462,P00218,P00101,P00216",27/03/2025,TKO
INV00199,C00624,"P00373,P00353,P00422,P00266,P00139",13/02/2025,CYB
INV00200,C01240,"P00321,P00390",25/10/2024,MK
INV00201,C00754,"P00498,P00299,P00011",19/05/2024,MK
INV00202,C00309,P00533,13/01/2024,ST
INV00203,C00065,"P00156,P00336,P00108,P00089",03/05/2024,MK
INV00204,C00818,"P00161,P00405,P00196,P00282,P00251",05/01/2024,ST
INV00205,C01416,"P00071,P00024,P00257,P00183,P00499",19/02/2024,MK
INV00206,C01391,"P00156,P00336,P00108,P00089,P00433,P00339",10/10/2025,CYB
INV00207,C00563,"P00256,P00285,P00316,P00248",04/11/2025,CYB
INV00208,C00100,P00039,19/03/2024,MK
INV00209,C00010,"P00339,P00414",29/12/2025,ST
INV00210,C00136,"P00517,P00010,P00527,P00115",23/03/2024,MK
INV00211,C01052,"P00270,P00457",29/11/2024,CYB
INV00212,C00141,"P00275,P00107,P00142,P00436",21/05/2025,MK
INV00213,C00609,P00236,24/08/2025,MK
INV00214,C00629,"P00156,P00336,P00108,P00089",30/03/2024,TKO
INV00215,C00085,"P00279,P00463,P00003,P00223,P00459",14/08/2024,MK
INV00216,C00844,"P00446,P00431,P00258",05/07/2025,TKO
INV00217,C00379,"P00404,P00511,P00212,P00446",05/01/2025,TKO
INV00218,C00643,"P00175,P00180,P00261,P00107,P00033",01/09/2025,MK
INV00219,C00937,"P00546,P00313,P00393",13/06/2025,TKO
INV00220,C00185,"P00306,P00287,P00157",09/02/2025,ST
INV00221,C00704,"P00139,P00147,P00238,P00442",27/09/2024,TKO
INV00222,C01138,"P00156,P00336,P00108,P00089",21/02/2025,MK
INV00223,C00271,"P00373,P00353,P00422,P00266",28/07/2024,TKO
INV00224,C01143,"P00313,P00098",30/05/2025,CYB
INV00225,C00141,"P00288,P00044,P00061,P00077,P00013",16/02/2024,TKO
INV00226,C01053,"P00373,P00353,P00422,P00266,P00016,P00427",22/04/2024,CYB
INV00227,C00654,"P00156,P00336,P00108,P00089,P00402,P00018",22/05/2024,CYB
INV00228,C00078,"P00373,P00353,P00422,P00266,P00092",04/01/2025,TKO
INV00229,C00647,P00476,20/02/2024,MK
INV00230,C01078,"P00424,P00014",11/08/2024,CYB
INV00231,C01282,"P00200,P00139,P00434,P00531",17/03/2025,TKO
INV00232,C00921,P00359,22/01/2025,CYB
INV00233,C00962,"P00010,P00310,P00230,P00095",26/02/2025,TKO
INV00234,C01362,P00077,26/03/2024,ST
INV00235,C00645,"P00156,P00336,P00108,P00089",19/12/2024,MK
INV00236,C00297,"P00158,P00386,P00484,P00437",22/12/2025,TKO
INV00237,C01149,"P00532,P00243,P00395,P00076",10/05/2024,TKO
INV00238,C01273,"P00369,P00072",18/08/2025,TKO
INV00239,C00811,"P00373,P00353,P00422,P00266",26/05/2025,MK
INV00240,C00376,"P00515,P00154",24/12/2025,CYB
INV00241,C01016,"P00156,P00336,P00108,P00089",03/02/2024,MK
INV00242,C00815,"P00157,P00443",10/02/2025,CYB
INV00243,C00231,"P00506,P00138,P00537,P00162",08/06/2025,CYB
INV00244,C00047,"P00502,P00192",13/03/2025,ST
INV00245,C00328,P00448,26/04/2024,MK
INV00246,C00639,"P00156,P00336,P00108,P00089",16/11/2025,TKO
INV00247,C00256,"P00531,P00133,P00497,P00386,P00279",07/04/2025,TKO
INV00248,C01341,"P00483,P00363,P00060,P00097,P00471",22/07/2024,MK
INV00249,C00188,"P00191,P00381,P00407",20/03/2025,TKO
INV00250,C01261,"P00156,P00336,P00108,P00089,P00413",03/10/2024,TKO
INV00251,C00791,"P00373,P00353,P00422,P00266,P00545,P00406",24/05/2025,TKO
INV00252,C00370,"P00156,P00336,P00108,P00089,P00545",06/09/2025,MK
INV00253,C01292,"P00465,P00240,P00460,P00181",10/06/2025,CYB
INV00254,C01180,"P00014,P00284,P00319,P00087",13/02/2025,MK
INV00255,C00698,"P00230,P00262",14/05/2024,CYB
INV00256,C01143,"P00373,P00353,P00422,P00266,P00189,P00253",08/02/2025,CYB
INV00257,C00741,"P00106,P00212,P00319",03/06/2025,MK
INV00258,C00048,"P00034,P00460,P00452",31/03/2025,TKO
INV00259,C01328,"P00209,P00073,P00321",27/02/2024,TKO
INV00260,C01388,"P00368,P00522",12/11/2024,TKO
INV00261,C00485,"P00082,P00254,P00485,P00272",29/04/2024,TKO
INV00262,C00566,"P00373,P00353,P00422,P00266",08/08/2024,MK
INV00263,C00077,"P00442,P00465,P00547,P00281,P00150",11/05/2024,ST
INV00264,C00903,"P00334,P00361,P00147,P00036",17/09/2025,TKO
INV00265,C00969,"P00140,P00353",18/07/2025,MK
INV00266,C00278,P00273,29/08/2024,MK
INV00267,C00403,"P00467,P00472,P00139",24/05/2025,CYB
INV00268,C00293,"P00406,P00113,P00283",13/12/2024,MK
INV00269,C00404,"P00216,P00269,P00340",19/08/2025,TKO
INV00270,C01245,"P00373,P00353,P00422,P00266,P00454",01/02/2025,TKO
INV00271,C00557,"P00203,P00267,P00210,P00057",11/11/2024,MK
INV00272,C00113,"P00166,P00362,P00112",12/11/2024,CYB
INV00273,C00131,"P00516,P00090",27/02/2025,CYB
INV00274,C00941,"P00156,P00336,P00108,P00089,P00333",17/09/2025,MK
INV00275,C00160,"P00353,P00368",03/10/2025,TKO
INV00276,C00846,"P00373,P00353,P00422,P00266",22/11/2025,TKO
INV00277,C00541,P00309,03/02/2024,TKO
INV00278,C01138,P00195,05/09/2024,TKO
INV00279,C01016,"P00434,P00181",24/03/2025,TKO
INV00280,C01266,"P00221,P00346,P00053,P00381",29/10/2025,ST
INV00281,C00192,"P00020,P00491",14/05/2024,CYB
INV00282,C01161,"P00156,P00336,P00108,P00089,P00081",14/07/2024,TKO
INV00283,C01274,"P00373,P00353,P00422,P00266,P00263,P00271",30/09/2024,CYB
INV00284,C00585,"P00373,P00353,P00422,P00266",19/12/2024,TKO
INV00285,C00459,"P00344,P00127,P00283,P00463",16/03/2024,TKO
INV00286,C00101,"P00373,P00353,P00422,P00266,P00006,P00400",04/03/2024,TKO
INV00287,C00266,"P00373,P00353,P00422,P00266",06/09/2024,ST
INV00288,C00017,P00100,08/04/2024,CYB
INV00289,C00307,"P00373,P00353,P00422,P00266,P00279",04/04/2024,CYB
INV00290,C00298,P00123,18/12/2025,CYB
INV00291,C00903,P00041,30/09/2025,ST
INV00292,C00170,"P00009,P00254",15/01/2024,CYB
INV00293,C01212,"P00078,P00074,P00391",23/08/2025,CYB
INV00294,C00917,"P00373,P00353,P00422,P00266",12/09/2025,CYB
INV00295,C00890,"P00362,P00324",22/07/2025,MK
INV00296,C01208,"P00474,P00414,P00484",21/07/2025,TKO
INV00297,C01038,"P00328,P00289",30/11/2025,CYB
INV00298,C01192,"P00373,P00353,P00422,P00266",18/02/2025,MK
INV00299,C00902,"P00373,P00353,P00422,P00266,P00288",03/11/2025,TKO
INV00300,C00544,"P00398,P00067,P00279,P00533,P00506",09/08/2024,MK
INV00301,C00057,P00369,14/07/2025,MK
INV00302,C00734,"P00003,P00383,P00310,P00508,P00363",24/06/2024,CYB
INV00303,C00732,"P00086,P00201,P00091,P00486",03/12/2024,TKO
INV00304,C00577,"P00373,P00353,P00422,P00266,P00034,P00476",30/07/2025,MK
INV00305,C00513,"P00524,P00162,P00319,P00190",23/11/2024,MK
INV00306,C01135,"P00530,P00317,P00053",08/09/2025,MK
INV00307,C00563,"P00088,P00077",07/03/2025,ST
INV00308,C00948,"P00373,P00353,P00422,P00266",15/05/2024,CYB
INV00309,C00132,"P00431,P00183,P00257,P00325",28/01/2024,TKO
INV00310,C00157,"P00274,P00129,P00285",29/01/2024,CYB
INV00311,C01343,P00389,22/06/2025,TKO
INV00312,C00925,"P00066,P00159,P00102",22/09/2024,MK
INV00313,C00710,"P00106,P00272",03/10/2024,TKO
INV00314,C01240,"P00373,P00353,P00422,P00266",31/07/2024,TKO
INV00315,C01381,"P00373,P00353,P00422,P00266,P00262",05/10/2025,CYB
INV00316,C00670,"P00115,P00386,P00211,P00470",06/10/2024,MK
INV00317,C00977,"P00156,P00336,P00108,P00089,P00547,P00063",26/06/2025,ST
INV00318,C01059,"P00156,P00336,P00108,P00089,P00420,P00422",15/11/2025,CYB
INV00319,C00325,"P00163,P00096",22/11/2025,ST
INV00320,C01190,P00064,20/11/2025,ST
INV00321,C00356,"P00416,P00175,P00507,P00106",11/09/2024,TKO
INV00322,C01433,"P00156,P00336,P00108,P00089",13/08/2024,TKO
INV00323,C01254,P00267,17/09/2025,ST
INV00324,C00963,P00071,03/04/2025,CYB
INV00325,C00008,"P00156,P00336,P00108,P00089",24/02/2024,MK
INV00326,C00436,"P00196,P00214,P00087",27/07/2024,CYB
INV00327,C01409,"P00373,P00353,P00422,P00266,P00545",04/04/2025,TKO
INV00328,C00064,"P00373,P00353,P00422,P00266,P00124,P00247",23/09/2025,ST
INV00329,C00896,"P00386,P00234",19/08/2025,MK
INV00330,C00477,"P00340,P00336,P00301",23/12/2025,CYB
INV00331,C01092,"P00006,P00209",24/11/2025,CYB
INV00332,C00033,P00133,21/02/2024,CYB
INV00333,C01093,"P00373,P00353,P00422,P00266,P00102",14/12/2024,MK
INV00334,C00315,"P00309,P00344",15/02/2025,MK
INV00335,C00157,"P00156,P00336,P00108,P00089,P00043",11/03/2025,TKO
INV00336,C00386,"P00156,P00336,P00108,P00089",17/09/2024,TKO
INV00337,C00743,"P00346,P00010,P00432,P00202,P00390",28/12/2025,ST
INV00338,C00814,"P00045,P00327,P00070,P00474,P00425",20/10/2025,TKO
INV00339,C00665,P00094,02/08/2025,TKO
INV00340,C00287,"P00261,P00461",12/10/2024,TKO
INV00341,C00679,"P00014,P00034",08/08/2024,CYB
INV00342,C00239,"P00231,P00488,P00028,P00011",27/05/2024,CYB
INV00343,C01271,"P00158,P00440",15/05/2025,CYB
INV00344,C00871,"P00156,P00336,P00108,P00089,P00533",10/05/2024,CYB
INV00345,C00318,"P00057,P00299,P00368",01/10/2024,ST
INV00346,C00262,"P00122,P00478,P00101,P00043,P00310",19/04/2024,TKO
INV00347,C01241,"P00020,P00476,P00280,P00241,P00229",28/03/2025,TKO
INV00348,C00841,"P00373,P00353,P00422,P00266,P00142",21/12/2024,MK
INV00349,C00697,"P00156,P00336,P00108,P00089,P00473,P00315",10/11/2025,MK
INV00350,C01062,"P00163,P00228,P00127",14/10/2025,MK
INV00351,C00269,"P00003,P00284",11/08/2025,CYB
INV00352,C01195,"P00073,P00365",12/01/2025,TKO
INV00353,C00835,"P00156,P00336,P00108,P00089,P00112,P00444",16/01/2025,ST
INV00354,C01321,"P00227,P00515,P00285,P00064,P00323",10/03/2024,MK
INV00355,C00453,"P00033,P00021,P00485",28/01/2024,CYB
INV00356,C00339,"P00156,P00336,P00108,P00089",28/04/2025,TKO
INV00357,C01374,"P00156,P00336,P00108,P00089,P00448,P00264",15/06/2025,CYB
INV00358,C01175,"P00373,P00353,P00422,P00266,P00394",28/09/2024,CYB
INV00359,C00139,"P00373,P00353,P00422,P00266,P00407",08/11/2024,MK
INV00360,C00140,"P00190,P00498,P00218,P00509",25/12/2025,MK
INV00361,C01282,"P00256,P00356,P00372,P00040,P00350",02/03/2025,MK
INV00362,C01279,"P00069,P00141,P00024,P00047,P00270",25/07/2025,MK
INV00363,C00663,"P00012,P00003,P00519,P00219",23/02/2024,CYB
INV00364,C01015,"P00373,P00353,P00422,P00266,P00511,P00312",11/06/2024,MK
INV00365,C00591,P00522,25/06/2025,MK
INV00366,C00933,"P00156,P00336,P00108,P00089",01/07/2024,CYB
INV00367,C00535,"P00154,P00318,P00218",05/03/2025,MK
INV00368,C00159,"P00008,P00159",20/08/2025,MK
INV00369,C01036,P00541,24/07/2024,CYB
INV00370,C01228,"P00249,P00324",30/08/2025,MK
INV00371,C00344,"P00156,P00336,P00108,P00089,P00390",17/08/2025,TKO
INV00372,C00856,P00472,09/06/2024,CYB
INV00373,C00984,"P00362,P00495,P00376,P00271",22/06/2024,CYB
INV00374,C00188,"P00055,P00108,P00074,P00051,P00292",14/04/2025,CYB
INV00375,C00058,"P00373,P00353,P00422,P00266,P00384,P00354",26/12/2025,CYB
INV00376,C00056,"P00059,P00022",16/12/2025,TKO
INV00377,C00837,P00361,18/10/2024,TKO
INV00378,C00908,"P00061,P00190,P00276,P00164",09/08/2025,MK
INV00379,C00308,P00036,11/03/2025,CYB
INV00380,C01275,"P00212,P00420",04/04/2024,MK
INV00381,C00434,"P00156,P00336,P00108,P00089,P00285",13/12/2025,MK
INV00382,C00071,"P00334,P00143",21/04/2024,ST
INV00383,C00621,"P00085,P00093,P00326,P00037",07/06/2024,TKO
INV00384,C00761,"P00373,P00353,P00422,P00266",26/11/2024,MK
INV00385,C01001,P00091,25/02/2025,TKO
INV00386,C00222,"P00413,P00451,P00220",08/02/2024,ST
INV00387,C01225,"P00103,P00105,P00415,P00385,P00059",11/03/2024,TKO
INV00388,C00130,"P00166,P00133,P00097,P00529,P00231",12/07/2024,MK
INV00389,C00563,"P00373,P00353,P00422,P00266",04/02/2024,MK
INV00390,C00679,"P00269,P00266",14/04/2024,CYB
INV00391,C00077,P00424,16/04/2024,TKO
INV00392,C00894,"P00156,P00336,P00108,P00089",16/05/2025,TKO
INV00393,C00634,"P00449,P00089",22/09/2024,TKO
INV00394,C00071,"P00373,P00353,P00422,P00266,P00181,P00001",18/02/2024,MK
INV00395,C01009,"P00156,P00336,P00108,P00089",26/11/2024,TKO
INV00396,C00867,"P00364,P00404,P00073",31/12/2025,CYB
INV00397,C00398,"P00470,P00458",05/06/2024,CYB
